gen,pop_size,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media,simulations_count
1, 5, 448.5685714285713, 0.00898590988748286, 1380145194.7016745, 3
2, 5, 428.65142857142854, 0.007918071129, 1497270033.4732656, 8
3, 5, 483.8771428571428, 0.008458006574225714, 1432105675.9781919, 11
4, 5, 303.74571428571426, 0.009014647148122857, 1347527774.1730227, 15
5, 5, 401.57428571428574, 0.00916566284697143, 1334844559.3476796, 18
6, 5, 338.91142857142864, 0.008189859333922857, 1392319750.7171636, 22
7, 5, 327.52285714285716, 0.008929629485839998, 1341441928.9041224, 25
8, 5, 321.0, 0.008715940537951428, 1364710725.338874, 29
9, 5, 394.03999999999996, 0.008918911361785712, 1340753899.138535, 33
10, 5, 268.6428571428571, 0.009066214755122854, 1320458136.6919227, 37
11, 5, 292.07142857142856, 0.009101534269765713, 1325016943.5120263, 41
12, 5, 347.9171428571428, 0.00809137493219143, 1451746399.8708615, 45
13, 5, 476.5885714285714, 0.006542051161002859, 1599328662.5613153, 49
14, 5, 292.75142857142856, 0.007467152848097143, 1519243098.709919, 52
15, 5, 391.24857142857144, 0.007416317290911428, 1511988841.6371343, 55
16, 5, 419.88571428571424, 0.008256356370511428, 1425021243.7965753, 58
17, 5, 434.90857142857146, 0.008315352169651428, 1415313443.4105754, 62
18, 5, 478.6142857142857, 0.008380612179477142, 1426991727.0746608, 66
19, 5, 418.0571428571428, 0.00849462415996857, 1430135000.8474474, 70
20, 5, 441.89428571428573, 0.008123030978562856, 1452170548.1742892, 74
21, 5, 379.9628571428571, 0.008065707711262856, 1419560354.8026063, 77
22, 5, 271.8714285714285, 0.008180734184188573, 1419145656.7038167, 81
23, 5, 239.81714285714284, 0.009052590994174287, 1338044749.0831122, 84
24, 5, 191.29428571428573, 0.008843014133842855, 1313296862.552629, 88
25, 5, 262.8028571428572, 0.008703347574399998, 1307622437.5591743, 90
26, 5, 319.0828571428571, 0.007108081601865715, 1598502336.2175086, 94
27, 5, 301.81714285714287, 0.006496543603411428, 1599911560.7639155, 97
28, 5, 350.53714285714284, 0.00767219391693143, 1526425819.1956105, 101
29, 5, 400.52, 0.008616399719594287, 1593343681.0464447, 104
30, 5, 391.65999999999997, 0.007975339767254288, 1685925110.750031, 108
31, 5, 242.9514285714286, 0.00799276637133143, 1460492865.4001923, 112
32, 5, 369.33142857142855, 0.00842658801887143, 1595290395.7306683, 115
33, 5, 571.3371428571429, 0.00778083285244857, 1441653968.6324654, 119
34, 5, 363.14, 0.0074109524588571426, 1503374247.4719057, 123
35, 5, 439.1171428571429, 0.008029904758211429, 1403691016.4181325, 126
36, 5, 297.2171428571429, 0.007231372140462858, 1507764131.7097068, 130
37, 5, 337.8171428571429, 0.00801505927517143, 1416471164.6224043, 133
38, 5, 343.04857142857145, 0.00702550225593143, 1530715976.935965, 137
39, 5, 349.6, 0.008636359778805714, 1373449990.753374, 140
40, 5, 180.61142857142858, 0.0073857082131514274, 1504133208.1107497, 144
41, 5, 223.44857142857146, 0.00885539621958857, 1357746471.4942374, 147
42, 5, 226.44857142857146, 0.008622404439185714, 1385284533.2123494, 150
43, 5, 188.84857142857146, 0.008648839835125714, 1361934432.8930683, 154
44, 5, 193.67142857142855, 0.008159338688925714, 1404778487.740066, 158
45, 5, 312.05999999999995, 0.008819932612377141, 1382324057.1053543, 162
46, 5, 318.3142857142857, 0.008671404164585714, 1384620796.7266564, 165
47, 5, 281.14571428571423, 0.00846432414312857, 1380697981.1682506, 169
48, 5, 427.4657142857142, 0.007850865783051428, 1452086943.3398657, 172
49, 5, 344.66571428571433, 0.007639857525408571, 1467849445.569443, 176
50, 5, 345.28000000000003, 0.00873530634498857, 1379313653.777451, 179
1, 10, 307.9057142857143, 0.011035574741745716, 1095857015.5826814, 9
2, 10, 362.52285714285716, 0.01076056075787143, 1136436816.3990207, 18
3, 10, 328.44571428571425, 0.01133762319304286, 1100038861.7077794, 27
4, 10, 278.7057142857143, 0.011900486012477143, 1030700072.0175638, 35
5, 10, 460.12, 0.011075877186922855, 1130856179.3020492, 44
6, 10, 351.01714285714286, 0.011485597593888572, 1092352629.2652977, 52
7, 10, 345.00571428571425, 0.012346840982831429, 1002933222.1395649, 60
8, 10, 377.0828571428571, 0.012396936287051427, 1000016296.3939861, 67
9, 10, 371.6942857142857, 0.011938497200954287, 1032376587.4119622, 74
10, 10, 446.33714285714285, 0.011500889746874287, 1134064407.4570274, 82
11, 10, 425.1657142857142, 0.011217952273137145, 1125815842.507545, 90
12, 10, 251.27714285714288, 0.011145728008588571, 1093790512.4696128, 98
13, 10, 358.9, 0.01030895906369714, 1206830631.7880378, 105
14, 10, 265.9342857142857, 0.009827327579497145, 1235868595.496111, 113
15, 10, 280.8885714285714, 0.01046169256529143, 1163998144.2219207, 120
16, 10, 327.24285714285713, 0.01101722553254, 1159697397.2633576, 127
17, 10, 308.3657142857143, 0.011259676344045715, 1099744691.1853366, 135
18, 10, 283.1, 0.011219974974051429, 1097288896.0382938, 143
19, 10, 346.6514285714285, 0.012000814939100001, 1043871872.0067484, 150
20, 10, 370.8514285714285, 0.010895648096522857, 1150545070.9536963, 157
21, 10, 258.8485714285714, 0.011298878803185714, 1105667820.5600886, 165
22, 10, 214.20857142857145, 0.010925751185382856, 1108616037.732864, 172
23, 10, 297.2942857142857, 0.011575352501131429, 1068919092.8211715, 179
24, 10, 272.6171428571429, 0.011133587234045714, 1117547329.2107198, 187
25, 10, 290.25714285714287, 0.012348094917354285, 1003996956.0506243, 194
26, 10, 244.02857142857138, 0.011700765681417143, 1072970960.0101349, 201
27, 10, 221.38000000000002, 0.010078935231565715, 1228350478.3128395, 208
28, 10, 264.58285714285716, 0.010971394317694286, 1136137100.7282486, 215
29, 10, 335.84285714285704, 0.010824086539454287, 1184673410.2556462, 222
30, 10, 232.1457142857143, 0.010166034388074285, 1250634169.0578532, 230
31, 10, 258.46, 0.010882605126734286, 1198294678.6797738, 237
32, 10, 276.3, 0.011548102465560001, 1102230460.8462982, 245
33, 10, 350.4, 0.011829684807682858, 1084450439.6255646, 251
34, 10, 288.87428571428575, 0.011860099951131426, 1063706957.8007772, 259
35, 10, 250.7657142857143, 0.011522826856145713, 1065916022.0286804, 266
36, 10, 335.21428571428567, 0.012255688095920002, 1040109067.5391433, 272
37, 10, 310.54857142857134, 0.012084195833531429, 1050644073.646158, 279
38, 10, 250.37714285714281, 0.01133824044264857, 1119570278.912968, 285
39, 10, 273.8257142857143, 0.011212976426451431, 1128787944.6072545, 291
