gen,pop_size,cwmin,cwmax,slotlength,txPower,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media
1, 5, 0, 0, 0, 0, 231.62857142857143, 0.004701684327485714, 1863897632.5463123
2, 5, 0, 0, 0, 0, 242.61714285714288, 0.004754276686011428, 1854463335.7015681
3, 5, 0, 0, 0, 0, 27.428571428571427, 0.004733967722422856, 1847152125.9051414
4, 5, 0, 0, 0, 0, 27.428571428571427, 0.004733967722422856, 1847152125.9051414
5, 5, 0, 0, 0, 0, 54.857142857142854, 0.00521281165318857, 1774753789.0583115
6, 5, 0, 0, 0, 0, 82.28571428571429, 0.005691655583954285, 1702355452.211481
7, 5, 0, 0, 0, 0, 55.097142857142856, 0.005214686889445713, 1783924993.0650756
8, 5, 0, 0, 0, 0, 55.097142857142856, 0.005214686889445713, 1783924993.0650756
9, 5, 0, 0, 0, 0, 55.41142857142857, 0.005151639951931428, 1803780492.708282
10, 5, 0, 0, 0, 0, 27.737142857142857, 0.004692378142948571, 1873527914.959169
11, 5, 0, 0, 0, 0, 136.70857142857142, 0.0045282783298, 1902345691.3870513
12, 5, 0, 0, 0, 0, 89.34285714285714, 0.00425058769792, 1937104471.132749
13, 5, 0, 0, 0, 0, 1.3771428571428572, 0.004659770205188571, 1876479057.1611946
14, 5, 0, 0, 0, 0, 171.7942857142857, 0.00561009071148, 1714339313.5330284
15, 5, 0, 0, 0, 0, 340.7485714285715, 0.005146389481480001, 1805184362.541872
16, 5, 0, 0, 0, 0, 172.04, 0.005590697174, 1717916542.4805512
17, 5, 0, 0, 0, 0, 3.085714285714286, 0.006054398403999998, 1627071493.4717073
18, 5, 0, 0, 0, 0, 338.92, 0.00526346716448, 1750550620.4304702
19, 5, 0, 0, 0, 0, 189.42857142857142, 0.004722426841085715, 1838015154.1211295
20, 5, 0, 0, 0, 0, 1.7657142857142856, 0.004611565396657143, 1874577571.3325973
21, 5, 0, 0, 0, 0, 1.8, 0.004629324974108571, 1877789005.562303
22, 5, 0, 0, 0, 0, 1.0, 0.00419933528164, 1930785494.8603559
23, 5, 0, 0, 0, 0, 35.80571428571429, 0.004439647073988572, 2306416144.2557616
24, 5, 0, 0, 0, 0, 85.81142857142858, 0.004994074944502857, 2294389916.516879
25, 5, 0, 0, 0, 0, 85.54857142857142, 0.005002978681685715, 2288236271.5046988
26, 5, 0, 0, 0, 0, 51.36571428571428, 0.004932924033765715, 2310724671.5061436
27, 5, 0, 0, 0, 0, 124.82857142857142, 0.004321678883388571, 2319397098.819339
28, 5, 0, 0, 0, 0, 490.2, 0.0043658527650228575, 1874885595.7004275
29, 5, 0, 0, 0, 0, 426.3828571428571, 0.0043324059195657145, 1908305176.2958527
30, 5, 0, 0, 0, 0, 507.15999999999997, 0.004332471110565714, 2282579829.964858
31, 5, 0, 0, 0, 0, 485.33142857142855, 0.0043117422546800005, 1915823648.1860027
32, 5, 0, 0, 0, 0, 755.4399999999999, 0.004484664374508571, 1876676943.8174107
33, 5, 0, 0, 0, 0, 721.1085714285714, 0.004501180864668572, 1865598290.1034222
34, 5, 0, 0, 0, 0, 483.68, 0.004362696310537143, 1905915842.949182
