gen,pop_size,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media,simulations_count
1, 5, 336.6285714285714, 0.00799155721932857, 1445962451.6672027, 3
2, 5, 363.4428571428571, 0.007519841484328572, 1427122825.103725, 7
3, 5, 252.3942857142857, 0.007031872907374286, 1531406564.299785, 11
4, 5, 390.40857142857146, 0.006391844889608572, 1686622676.0521188, 15
5, 5, 378.56857142857143, 0.006868431324351431, 1582227323.7544599, 19
6, 5, 412.75714285714287, 0.006529805612682858, 1632660003.234676, 23
7, 5, 381.70571428571424, 0.006539763873431427, 1637438527.9367588, 26
8, 5, 312.4057142857143, 0.0065416902407799985, 1613371355.5645576, 31
9, 5, 376.7714285714286, 0.007696529190008572, 1495399035.0669565, 35
10, 5, 399.91714285714284, 0.006067255252994287, 1672571739.7732844, 39
11, 5, 247.81714285714284, 0.006896004146580001, 1812360997.8532462, 43
12, 5, 667.7285714285713, 0.006076943844391429, 1649491747.6187065, 47
13, 5, 458.5257142857143, 0.0069899639697799994, 1549487856.9579284, 51
14, 5, 436.5057142857143, 0.006069247400337143, 1644794138.623015, 55
15, 5, 366.9714285714286, 0.006021501929714286, 1654952938.0110435, 59
16, 5, 297.0771428571428, 0.0076714913346400005, 1487743928.4223113, 63
17, 5, 385.37428571428575, 0.006842311952585714, 1576092501.204875, 66
18, 5, 349.52000000000004, 0.006205758316757143, 1630084954.0927083, 70
19, 5, 532.7342857142856, 0.006916789586151428, 1592210659.396803, 73
20, 5, 510.5057142857143, 0.006477477398034286, 1634633560.560804, 77
21, 5, 413.0057142857143, 0.006332607018839999, 1642284510.3599317, 81
22, 5, 494.0142857142857, 0.0061044102261142855, 1659452317.519175, 86
23, 5, 393.3114285714286, 0.0059150823152, 1656580315.3524246, 89
24, 5, 326.4428571428572, 0.0062845241482999996, 1616824465.288286, 93
25, 5, 308.78571428571433, 0.005778545507691428, 1659010655.6031914, 97
26, 5, 337.31428571428575, 0.006202452123251429, 1652398394.0492158, 101
27, 5, 324.04571428571427, 0.006538909410142855, 1613327457.9707074, 105
28, 5, 485.2771428571429, 0.006554430906505715, 1578156799.8481221, 109
29, 5, 290.4257142857143, 0.0068745197198571435, 1545405005.633521, 113
30, 5, 239.11428571428573, 0.007365885896528574, 1521204890.499843, 117
31, 5, 283.21428571428567, 0.00675063790715143, 1570502552.0761306, 122
32, 5, 313.9885714285714, 0.006770167830782858, 1563024707.338818, 125
33, 5, 304.60571428571427, 0.006848711944705715, 1550711967.216552, 130
34, 5, 258.11428571428576, 0.007037885244674286, 1760201799.661224, 134
35, 5, 258.95428571428573, 0.0075529195296571445, 1486472258.7792845, 138
36, 5, 282.25714285714287, 0.008251047926374286, 1393402491.5035136, 141
37, 5, 352.3685714285715, 0.007628475776051429, 1481386941.5545306, 145
38, 5, 333.52857142857147, 0.007493100570537143, 1521877775.9885607, 149
39, 5, 373.7428571428572, 0.008622005668768574, 1399726267.8802893, 153
40, 5, 321.43142857142857, 0.006922279761082857, 1590957154.3341281, 156
41, 5, 354.4885714285714, 0.008138777938597144, 1630729650.75247, 161
42, 5, 390.1657142857143, 0.007705878260017142, 1656752979.8591168, 165
43, 5, 439.25428571428563, 0.007784132338894287, 1688843016.132155, 169
44, 5, 285.8514285714285, 0.00795907606153143, 1632892268.932511, 172
45, 5, 258.36, 0.0058598303140400005, 1765100284.535806, 176
46, 5, 444.37999999999994, 0.006113585422648572, 1626363396.6080215, 180
47, 5, 394.38, 0.007981016802417144, 1456986616.2936141, 184
48, 5, 378.51428571428573, 0.006837311756557142, 1552779658.69373, 187
49, 5, 375.6314285714285, 0.005699490667582857, 1757008263.4196942, 191
50, 5, 334.1457142857143, 0.006193451576825715, 1679870820.3727489, 195
1, 10, 360.71999999999997, 0.010295946172354287, 1168403381.2308307, 9
2, 10, 356.24285714285713, 0.008935527630691428, 1302628980.190785, 18
3, 10, 402.4542857142857, 0.008703377498865713, 1305877882.3614643, 27
4, 10, 233.69714285714286, 0.009206200032394285, 1269433057.383494, 36
5, 10, 285.89428571428573, 0.008572200944717142, 1323005711.7634418, 45
6, 10, 436.05428571428575, 0.008210512839448571, 1392063059.598008, 53
7, 10, 433.2971428571429, 0.008198072289434286, 1390556956.0029335, 62
8, 10, 444.33142857142855, 0.008589561390737143, 1359554619.199812, 71
9, 10, 350.94571428571436, 0.010339472102577144, 1176608535.3215785, 80
10, 10, 334.0714285714286, 0.0107409886458, 1137813964.9949958, 89
11, 10, 302.08857142857147, 0.010006550556497143, 1194238807.2430985, 97
12, 10, 248.28571428571428, 0.00820204755352857, 1320879014.7572563, 106
13, 10, 267.2857142857142, 0.009094971073731428, 1265512950.7986875, 114
14, 10, 302.25428571428574, 0.01051400213738, 1136568354.5433908, 123
15, 10, 434.7685714285714, 0.009843808153111429, 1192652916.014499, 132
16, 10, 317.96285714285716, 0.008782031048325716, 1334186086.083825, 140
17, 10, 477.89428571428573, 0.00821916996911143, 1400933458.7829661, 148
18, 10, 310.33142857142855, 0.00893728570388, 1310935987.5454319, 157
19, 10, 345.25142857142856, 0.009133483756674287, 1338091364.331159, 166
20, 10, 217.56571428571428, 0.009401824423148571, 1334813995.561259, 174
