gen,pop_size,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media,simulations_count
1, 5, 310.09714285714284, 0.009809695653074284, 1227786876.1652687, 4
2, 5, 345.25428571428563, 0.009886839412780003, 1240640525.8187253, 8
3, 5, 306.58914285714275, 0.009684624163557141, 1256397771.6208527, 12
4, 5, 361.4411428571428, 0.009601394983524, 1252696372.0122771, 16
5, 5, 304.74057142857134, 0.00933850546424, 1297594761.3529625, 20
6, 5, 294.5617142857143, 0.009392289811705144, 1308888980.0109785, 23
7, 5, 308.2839999999999, 0.008874370869162856, 1358176648.6734934, 27
8, 5, 319.6565714285714, 0.00869950171741543, 1401165732.8451185, 31
9, 5, 320.2325714285714, 0.009085280849565716, 1311467809.5397635, 34
10, 5, 291.3788571428571, 0.009021357564626286, 1328471929.7769358, 38
11, 5, 331.4839999999999, 0.008728726431175428, 1360903409.302453, 42
12, 5, 271.8548571428571, 0.00887633546090857, 1394767539.456514, 45
13, 5, 278.01542857142846, 0.008659131501787428, 1368410795.3199706, 49
14, 5, 254.77142857142852, 0.008749853261686858, 1363515152.444697, 52
15, 5, 266.61714285714277, 0.009174401233557145, 1326490538.1564322, 56
16, 5, 267.19771428571426, 0.009545332801185713, 1285510362.416939, 60
17, 5, 297.76000000000005, 0.009442387913176569, 1299406427.8326576, 63
18, 5, 284.1211428571429, 0.009100420060975431, 1339220964.8574636, 67
19, 5, 322.5582857142857, 0.008811099426423432, 1449210303.1250885, 70
20, 5, 238.68285714285713, 0.009397227969058288, 1348729723.2636635, 74
21, 5, 266.76685714285713, 0.009007001827837712, 1356788431.1838076, 77
22, 5, 287.05942857142855, 0.009125006428733713, 1396224330.3956661, 81
23, 5, 271.328, 0.00891172052318686, 1424449240.1033106, 84
24, 5, 277.3297142857142, 0.009094344015904572, 1392742609.7763052, 88
25, 5, 335.0514285714286, 0.009272948138651997, 1408280585.4906127, 92
26, 5, 382.0422857142857, 0.009353259549886285, 1391583134.5013795, 95
27, 5, 386.12571428571425, 0.00890503574096743, 1496705591.7506332, 99
28, 5, 324.50971428571427, 0.009167107149142288, 1379619757.2366161, 102
29, 5, 323.32799999999986, 0.009506312759862287, 1297800867.71794, 106
30, 5, 400.32628571428575, 0.009209681335781714, 1358160523.6424341, 109
31, 5, 397.82514285714285, 0.009524363138396571, 1336123877.994929, 113
32, 5, 327.4702857142857, 0.009808722340114285, 1253337634.1198628, 117
33, 5, 321.31428571428563, 0.009431383891439998, 1301768152.2891335, 120
34, 5, 291.61771428571427, 0.009836925989745712, 1219002737.9276865, 123
