gen,pop_size,simulations
1,5,4
2,5,3
3,5,1
4,5,2
5,5,3
6,5,3
7,5,3
8,5,4
9,5,5
10,5,5
11,5,5
12,5,4
13,5,4
14,5,3
15,5,3
16,5,3
17,5,4
18,5,4
19,5,2
20,5,4
21,5,5
22,5,3
23,5,3
24,5,4
25,5,4
26,5,3
27,5,3
28,5,3
29,5,5
30,5,4
31,5,3
32,5,3
33,5,4
34,5,5
35,5,3
36,5,2
37,5,5
38,5,3
39,5,3
40,5,5
41,5,5
42,5,4
43,5,3
44,5,5
45,5,3
46,5,4
47,5,4
48,5,4
49,5,2
50,5,1
1,10,9
2,10,10
3,10,8
4,10,8
5,10,9
6,10,7
7,10,10
8,10,6
9,10,10
10,10,7
11,10,8
12,10,8
13,10,10
14,10,10
15,10,7
16,10,10
17,10,8
18,10,7
19,10,7
20,10,8
21,10,9
22,10,6
23,10,6
24,10,6
25,10,4
26,10,6
27,10,5
28,10,5
29,10,8
30,10,4
31,10,8
32,10,10
33,10,4
34,10,9
35,10,7
36,10,8
37,10,8
38,10,8
39,10,7
40,10,9
41,10,5
42,10,9
43,10,10
44,10,6
45,10,5
46,10,5
47,10,4
48,10,4
49,10,5
50,10,7
1,15,15
2,15,15
3,15,14
4,15,13
5,15,13
6,15,11
7,15,15
8,15,12
9,15,15
10,15,13
11,15,15
12,15,15
13,15,14
14,15,12
15,15,14
16,15,14
17,15,13
18,15,14
19,15,14
20,15,11
21,15,14
22,15,13
23,15,10
24,15,12
25,15,11
26,15,9
27,15,10
28,15,13
29,15,12
30,15,12
31,15,10
32,15,10
33,15,10
34,15,9
35,15,12
36,15,10
37,15,13
38,15,12
39,15,11
40,15,13
41,15,15
42,15,12
43,15,12
44,15,14
45,15,11
46,15,13
47,15,10
48,15,8
49,15,6
50,15,7
1,20,18
2,20,17
3,20,20
4,20,18
5,20,19
6,20,16
7,20,19
8,20,19
9,20,16
10,20,18
11,20,17
12,20,19
13,20,18
14,20,14
15,20,14
16,20,16
17,20,13
18,20,18
19,20,14
20,20,13
21,20,13
22,20,17
23,20,15
24,20,17
25,20,18
26,20,14
27,20,16
28,20,14
29,20,15
30,20,17
31,20,16
32,20,13
33,20,17
34,20,15
35,20,15
36,20,15
37,20,14
38,20,14
39,20,10
40,20,12
41,20,11
42,20,13
43,20,12
44,20,13
45,20,12
46,20,8
47,20,10
48,20,11
49,20,14
50,20,8
1,25,24
2,25,23
3,25,24
4,25,24
5,25,24
6,25,21
7,25,22
8,25,24
9,25,21
10,25,20
11,25,22
12,25,22
13,25,21
14,25,17
15,25,16
16,25,18
17,25,19
18,25,21
19,25,22
20,25,23
21,25,22
22,25,19
23,25,25
24,25,19
25,25,21
26,25,19
27,25,18
28,25,14
29,25,20
30,25,11
31,25,15
32,25,16
33,25,14
34,25,12
35,25,12
36,25,16
37,25,19
38,25,12
39,25,14
40,25,17
41,25,18
42,25,15
43,25,17
44,25,18
45,25,17
46,25,20
47,25,18
48,25,16
49,25,15
50,25,18
1,30,29
2,30,28
3,30,27
4,30,28
5,30,27
6,30,29
7,30,27
8,30,28
9,30,28
10,30,27
