gen,pop_size,simulations
1,5,4
2,5,8
3,5,12
4,5,16
5,5,20
6,5,23
7,5,27
8,5,31
9,5,34
10,5,38
11,5,42
12,5,45
13,5,49
14,5,52
15,5,56
16,5,60
17,5,63
18,5,67
19,5,70
20,5,74
21,5,77
22,5,81
23,5,84
24,5,88
25,5,92
26,5,95
27,5,99
28,5,102
29,5,106
30,5,109
31,5,113
32,5,117
33,5,120
34,5,123
35,5,127
36,5,131
37,5,134
38,5,138
39,5,142
40,5,145
41,5,149
42,5,152
43,5,156
44,5,159
45,5,163
46,5,166
47,5,170
48,5,173
49,5,177
50,5,181
1,10,9
2,10,18
3,10,27
4,10,35
5,10,44
6,10,52
7,10,60
8,10,69
9,10,77
10,10,85
11,10,93
12,10,101
13,10,108
14,10,116
15,10,124
16,10,131
17,10,139
18,10,146
19,10,154
20,10,161
21,10,169
22,10,177
23,10,184
24,10,192
25,10,199
26,10,207
27,10,215
28,10,222
29,10,230
30,10,237
31,10,245
32,10,252
33,10,260
34,10,267
35,10,275
36,10,283
37,10,290
38,10,297
39,10,305
40,10,312
41,10,318
42,10,325
43,10,332
44,10,339
45,10,346
46,10,353
47,10,361
48,10,368
49,10,374
50,10,382
1,15,14
2,15,27
3,15,41
4,15,54
5,15,67
6,15,80
7,15,93
8,15,105
9,15,117
10,15,129
11,15,141
12,15,153
13,15,165
14,15,176
15,15,188
16,15,199
17,15,210
18,15,221
19,15,232
20,15,243
21,15,254
22,15,265
23,15,275
24,15,286
25,15,296
26,15,306
27,15,317
28,15,328
29,15,338
30,15,349
31,15,359
32,15,369
33,15,380
34,15,390
35,15,401
36,15,412
37,15,422
38,15,433
39,15,444
40,15,455
41,15,465
42,15,476
43,15,486
44,15,496
45,15,506
46,15,516
47,15,526
48,15,536
49,15,546
50,15,557
1,20,18
2,20,37
3,20,55
4,20,73
5,20,91
6,20,109
7,20,127
8,20,145
9,20,162
10,20,180
11,20,197
12,20,214
13,20,231
14,20,248
15,20,265
16,20,281
17,20,297
18,20,313
19,20,329
20,20,345
21,20,361
22,20,376
23,20,392
24,20,407
25,20,423
26,20,438
27,20,453
28,20,468
29,20,483
30,20,498
31,20,513
32,20,528
33,20,543
34,20,557
35,20,572
36,20,587
37,20,602
38,20,616
39,20,630
40,20,644
41,20,658
42,20,672
43,20,685
44,20,699
45,20,713
46,20,726
47,20,739
48,20,752
49,20,766
50,20,779
1,25,23
2,25,47
3,25,70
4,25,93
5,25,116
6,25,139
7,25,161
8,25,182
9,25,204
10,25,225
11,25,246
12,25,268
13,25,288
14,25,308
15,25,328
16,25,347
17,25,367
18,25,386
19,25,406
20,25,424
21,25,443
22,25,461
23,25,480
24,25,499
25,25,517
26,25,536
27,25,554
28,25,572
29,25,590
30,25,609
31,25,626
32,25,644
33,25,662
34,25,680
35,25,697
36,25,715
37,25,732
38,25,749
39,25,766
40,25,784
41,25,801
42,25,819
43,25,835
44,25,852
45,25,869
46,25,886
47,25,903
48,25,920
49,25,937
50,25,953
1,30,28
2,30,57
3,30,85
4,30,112
5,30,140
6,30,167
7,30,194
8,30,221
9,30,247
10,30,273
11,30,299
12,30,324
13,30,349
14,30,373
15,30,398
16,30,422
17,30,446
18,30,470
19,30,493
20,30,516
21,30,539
22,30,562
23,30,585
24,30,607
25,30,629
26,30,651
27,30,672
28,30,693
29,30,715
30,30,736
31,30,759
32,30,781
33,30,802
34,30,824
35,30,844
36,30,866
37,30,887
38,30,907
39,30,928
40,30,949
41,30,969
42,30,989
43,30,1008
44,30,1028
45,30,1048
46,30,1068
47,30,1087
48,30,1107
49,30,1126
50,30,1146
1,35,33
2,35,67
3,35,100
4,35,132
5,35,165
6,35,197
7,35,229
8,35,261
9,35,292
10,35,323
11,35,354
12,35,384
13,35,414
14,35,444
15,35,474
16,35,503
17,35,532
18,35,561
19,35,590
20,35,618
21,35,647
22,35,675
23,35,702
24,35,729
25,35,757
26,35,784
27,35,810
28,35,837
29,35,863
30,35,888
31,35,913
32,35,938
33,35,963
34,35,988
35,35,1013
36,35,1038
37,35,1062
38,35,1086
39,35,1111
40,35,1135
41,35,1158
42,35,1183
43,35,1207
44,35,1232
45,35,1255
46,35,1278
47,35,1302
48,35,1326
49,35,1349
50,35,1372
1,40,38
2,40,76
3,40,114
4,40,151
5,40,188
6,40,226
7,40,262
8,40,298
9,40,334
10,40,370
11,40,405
12,40,440
13,40,475
14,40,508
15,40,542
16,40,575
17,40,608
18,40,641
19,40,673
20,40,704
21,40,734
22,40,764
23,40,793
24,40,822
25,40,852
26,40,880
27,40,909
28,40,938
29,40,966
30,40,994
31,40,1021
32,40,1048
33,40,1075
34,40,1102
35,40,1128
36,40,1154
37,40,1180
38,40,1206
39,40,1232
40,40,1258
41,40,1284
42,40,1309
43,40,1334
44,40,1359
45,40,1384
46,40,1409
47,40,1432
48,40,1456
49,40,1479
50,40,1503
1,45,43
2,45,86
3,45,128
4,45,170
5,45,213
6,45,255
7,45,296
8,45,337
9,45,377
10,45,416
11,45,456
12,45,495
13,45,534
14,45,572
15,45,610
16,45,647
17,45,684
18,45,721
19,45,756
20,45,792
21,45,827
22,45,862
23,45,897
24,45,931
25,45,965
26,45,998
27,45,1031
28,45,1064
29,45,1096
30,45,1128
31,45,1160
32,45,1191
33,45,1223
34,45,1254
35,45,1284
36,45,1314
37,45,1344
38,45,1374
39,45,1404
40,45,1432
41,45,1461
42,45,1490
43,45,1517
44,45,1545
45,45,1572
46,45,1598
47,45,1624
48,45,1651
49,45,1677
50,45,1703
1,50,47
2,50,95
3,50,143
4,50,190
5,50,237
6,50,283
7,50,329
8,50,374
9,50,418
10,50,462
11,50,506
12,50,549
13,50,592
14,50,634
15,50,675
16,50,717
17,50,757
18,50,797
19,50,837
20,50,876
21,50,915
22,50,954
23,50,991
24,50,1028
25,50,1064
26,50,1100
27,50,1137
28,50,1172
29,50,1207
30,50,1243
31,50,1278
32,50,1313
33,50,1346
34,50,1380
35,50,1413
36,50,1445
37,50,1477
38,50,1509
39,50,1541
40,50,1573
41,50,1604
42,50,1634
43,50,1665
44,50,1697
45,50,1727
46,50,1757
47,50,1787
48,50,1816
49,50,1845
50,50,1873
