gen,pop_size,simulations
1,5,3
2,5,8
3,5,11
4,5,15
5,5,18
6,5,22
7,5,25
8,5,29
9,5,33
10,5,37
11,5,41
12,5,45
13,5,49
14,5,52
15,5,55
16,5,58
17,5,62
18,5,66
19,5,70
20,5,74
21,5,77
22,5,81
23,5,84
24,5,88
25,5,90
26,5,94
27,5,97
28,5,101
29,5,104
30,5,108
31,5,112
32,5,115
33,5,119
34,5,123
35,5,126
36,5,130
37,5,133
38,5,137
39,5,140
40,5,144
41,5,147
42,5,150
43,5,154
44,5,158
45,5,162
46,5,165
47,5,169
48,5,172
49,5,176
50,5,179
1,10,9
2,10,18
3,10,27
4,10,35
5,10,44
6,10,52
7,10,60
8,10,67
9,10,74
10,10,82
11,10,90
12,10,98
13,10,105
14,10,113
15,10,120
16,10,127
17,10,135
18,10,143
19,10,150
20,10,157
21,10,165
22,10,172
23,10,179
24,10,187
25,10,194
26,10,201
27,10,208
28,10,215
29,10,222
30,10,230
31,10,237
32,10,245
33,10,251
34,10,259
35,10,266
36,10,272
37,10,279
38,10,285
39,10,291
40,10,298
41,10,305
42,10,313
43,10,319
44,10,326
45,10,333
46,10,340
47,10,348
48,10,356
49,10,364
50,10,371
1,15,14
2,15,28
3,15,42
4,15,55
5,15,68
6,15,80
7,15,93
8,15,105
9,15,118
10,15,129
11,15,142
12,15,154
13,15,166
14,15,179
15,15,192
16,15,203
17,15,215
18,15,226
19,15,238
20,15,250
21,15,262
22,15,274
23,15,286
24,15,297
25,15,309
26,15,320
27,15,331
28,15,342
29,15,354
30,15,365
31,15,377
32,15,388
33,15,400
34,15,411
35,15,422
36,15,434
37,15,445
38,15,456
39,15,467
40,15,479
41,15,490
42,15,501
43,15,512
44,15,523
45,15,535
46,15,545
47,15,557
48,15,568
49,15,580
50,15,591
1,20,18
2,20,37
3,20,55
4,20,73
5,20,91
6,20,109
7,20,127
8,20,144
9,20,161
10,20,178
11,20,195
12,20,212
13,20,228
14,20,245
15,20,261
16,20,276
17,20,291
18,20,306
19,20,321
20,20,335
21,20,348
22,20,361
23,20,375
24,20,389
25,20,403
26,20,418
27,20,432
28,20,446
29,20,462
30,20,476
31,20,491
32,20,505
33,20,519
34,20,533
35,20,546
36,20,560
37,20,574
38,20,588
39,20,602
40,20,616
41,20,629
42,20,642
43,20,657
44,20,669
45,20,682
46,20,695
47,20,709
48,20,722
49,20,737
50,20,749
1,25,23
2,25,47
3,25,70
4,25,94
5,25,117
6,25,139
7,25,162
8,25,184
9,25,205
10,25,227
11,25,249
12,25,270
13,25,291
14,25,312
15,25,332
16,25,353
17,25,374
18,25,394
19,25,414
20,25,434
21,25,453
22,25,473
23,25,492
24,25,512
25,25,530
26,25,548
27,25,569
28,25,588
29,25,607
30,25,624
31,25,642
32,25,659
33,25,677
34,25,694
35,25,710
36,25,726
37,25,743
38,25,759
39,25,776
40,25,793
41,25,811
