v,cwmin,cwmax,slotlength,txPower,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media
Exaustivo,512,1024,80,1.26,2.65714285714286,0.005133853380657,2.55063081509815E-10
Exaustivo,512,4096,25,50.12,195.057142857143,0.004221866177086,5.17089354263699E-10
Exaustivo,512,2048,10,2.51,18.2285714285714,0.003768138847686,2.52841814515743E-10
Exaustivo,512,2048,15,100,508.857142857143,0.004767510003514,5.47265682683232E-10
Exaustivo,512,4096,10,501.19,893.914285714286,0.004573519546114,5.42184841224846E-10
Exaustivo,512,2048,80,794.33,124.342857142857,0.004124804209171,5.12329143008667E-10
Exaustivo,512,4096,40,501.19,2.82857142857143,0.004154797358257,5.17876703937546E-10
Exaustivo,512,1024,15,3.98,27.7142857142857,0.004048861347514,3.78646398771167E-10
Exaustivo,512,2048,40,251.19,3.62857142857143,0.003989078611429,5.09801954634068E-10
Exaustivo,512,1024,70,1258.93,41.7428571428571,0.003946493118914,5.09827888164349E-10
Exaustivo,512,2048,85,15.85,77.2,0.011648544251429,9.20393363833207E-10
Exaustivo,512,1024,10,501.19,297.4,0.004068139725086,5.04016873456664E-10
Exaustivo,512,2048,30,1258.93,497.028571428571,0.0043862035452,5.3083655476278E-10
Exaustivo,512,2048,15,794.33,0,0.004283160156229,5.28100675670338E-10
Exaustivo,512,1024,45,794.33,336.514285714286,0.004059556322057,4.99626804044642E-10
Exaustivo,512,4096,40,1.26,2.94285714285714,0.002167305792029,2.15056748711442E-10
Exaustivo,512,4096,85,3.98,92.8571428571429,0.004294713110086,3.96234536861113E-10
Exaustivo,512,1024,10,3.98,81.0571428571429,0.003970387207771,3.72966482759677E-10
Exaustivo,512,2048,75,15.85,445.942857142857,0.0119990929492,9.39962622888786E-10
Exaustivo,512,1024,85,501.19,603.2,0.004357257684571,5.24230302211038E-10
Exaustivo,512,2048,45,15.85,483.628571428571,0.012446303762943,9.51807637519391E-10
Exaustivo,512,2048,40,15.85,650.571428571429,0.012139620337886,9.35241266166391E-10
Exaustivo,512,4096,25,15.85,486.028571428571,0.009701679474943,8.43896923940105E-10
Exaustivo,512,1024,60,794.33,96.0571428571429,0.004048669320857,4.94967868195603E-10
Exaustivo,512,1024,25,10,231.685714285714,0.012595672557829,1.10973544316895E-09
Exaustivo,512,2048,70,25.12,448.714285714286,0.006418924344514,6.43603119947432E-10
Exaustivo,512,4096,90,251.19,380.485714285714,0.004389456617771,5.27931732231952E-10
Exaustivo,512,2048,35,501.19,317.657142857143,0.004300309978629,5.23078453404205E-10
Exaustivo,512,2048,55,50.12,71.0571428571429,0.0047277376482,5.5411659810929E-10
Exaustivo,512,4096,45,794.33,1.4,0.0042224734586,5.40955636478676E-10
Exaustivo,512,1024,80,100,390.914285714286,0.004768801540857,5.55154227812302E-10
Exaustivo,512,1024,20,1584.89,1.6,0.004228838402143,5.07677641068027E-10
Exaustivo,512,2048,5,50.12,1.77142857142857,0.004463705502343,5.25106680540805E-10
Exaustivo,512,2048,55,501.19,290.257142857143,0.004176450677914,5.20246866328583E-10
Exaustivo,512,2048,10,50.12,742.742857142857,0.004820924043543,5.5309334260391E-10
Exaustivo,512,4096,75,2.51,9.14285714285714,0.003658117730743,2.49503143723759E-10
Exaustivo,512,1024,85,100,165.485714285714,0.004427348609114,5.31151008950354E-10
Exaustivo,512,2048,75,100,336.771428571429,0.004721943906829,5.47196628313934E-10
Exaustivo,512,1024,80,1258.93,351.314285714286,0.004203719148714,5.08006131518027E-10
Exaustivo,512,1024,50,15.85,329.514285714286,0.012126356230143,9.42535616560975E-10
Exaustivo,512,2048,30,100,307.228571428571,0.004597202347371,5.42903719981571E-10
Exaustivo,512,4096,10,794.33,1.4,0.004124492554571,5.13807842241955E-10
Exaustivo,512,1024,40,10,293.8,0.009032943292657,6.89711675600041E-10
Exaustivo,512,1024,90,1.26,1.8,0.005092421047514,2.54440672789902E-10
Exaustivo,512,4096,75,100,80.9142857142857,0.004305578695,5.19556113944976E-10
Exaustivo,512,2048,95,25.12,470.4,0.005770328890257,5.90050060340891E-10
Exaustivo,512,1024,65,501.19,0,0.004272841976057,5.20029637687117E-10
Exaustivo,512,4096,20,794.33,1.91428571428571,0.004086885002371,5.1766689075485E-10
Exaustivo,512,1024,30,1.26,6.91428571428571,0.002593851218514,2.47837266542004E-10
Exaustivo,512,2048,40,794.33,265.457142857143,0.004363451725543,5.38261933106706E-10
Exaustivo,512,2048,30,251.19,1.42857142857143,0.0041105278742,4.99659276625989E-10
Exaustivo,512,2048,60,100,102.4,0.004461184740829,5.49730007607065E-10
Exaustivo,512,2048,100,50.12,296.2,0.007078200432229,6.52346422816864E-10
Exaustivo,512,2048,75,2.51,28.8857142857143,0.003570641806314,2.49159924941258E-10
Exaustivo,512,1024,90,100,173.057142857143,0.0047041990794,5.54581536029489E-10
Exaustivo,512,2048,35,100,0,0.004574287248257,5.31051277934351E-10
Exaustivo,512,2048,70,3.98,28.4285714285714,0.003817784802886,3.72024030166887E-10
Exaustivo,512,1024,70,3.98,117.685714285714,0.004081804160571,3.7290715832015E-10
Exaustivo,512,2048,95,10,318.714285714286,0.011376528145914,1.06438008050444E-09
Exaustivo,512,1024,15,1258.93,148.514285714286,0.004182357233143,5.09216400002482E-10
Exaustivo,512,1024,45,251.19,1.6,0.004087412354686,5.0890754257555E-10
Exaustivo,512,4096,45,10,85.1714285714286,0.005658114519571,5.050938892741E-10
Exaustivo,512,1024,85,15.85,367.8,0.013512107790543,9.80569401390595E-10
Exaustivo,512,2048,45,100,225.485714285714,0.004706991958171,5.47201692771397E-10
Exaustivo,512,4096,25,1584.89,291.228571428571,0.004396272759314,5.28667946737178E-10
Exaustivo,512,4096,95,794.33,120.885714285714,0.004035680994343,5.03995318417505E-10
Exaustivo,512,1024,85,3.98,31.0857142857143,0.004037848663371,3.70657673878709E-10
Exaustivo,512,2048,65,15.85,303.285714285714,0.004756074321343,5.24863899172783E-10
Exaustivo,512,4096,10,3.98,30.2857142857143,0.004055654908914,3.79815783500601E-10
